Asset_A,Asset_B,MeanRelativeReturn,StdRelativeReturn,ProbabilityOutperform
AAPL,MSFT,0.0470346222347236,0.314825298532722,0.53
AAPL,TSLA,0.21271992185651378,0.41151366076612644,0.681
AAPL,TSM,-0.5440809232041135,1.200254809359025,0.375
AAPL,PG,-0.006854951679867627,0.45642425634485795,0.526
MSFT,TSLA,0.16568529962179016,0.3630832556413843,0.651
MSFT,TSM,-0.591115545438837,1.220626670485789,0.365
MSFT,PG,-0.053889573914591225,0.4330595492947188,0.47
TSLA,TSM,-0.7568008450606274,1.318307478826076,0.306
TSLA,PG,-0.21957487353638142,0.4980221169048603,0.341
TSM,PG,0.5372259715242458,1.215311732808301,0.641
